,lang,trigger_words_strings
3196,ru,"['да правда всё равно прорвалась наружу\nЧлен \n', 'секты политического украинства', 'пидозру', 'побывать в застенках СБУ']"
3197,ru,"['Сейчас коротышка, снова ножкой тупотеть начнет, что Маску тупо пофиг, на акцию запущенную Офисом Президента', 'Зеля — мусор, а все кто его поддерживают мне вас жаль, я говорил это раньше , скажу и сейчас: с вас потом будут насмехаться, а вы будете делать вид, что никогда и не поддерживали']"
3198,ru,"['Очень требуются ""Кинжалы"" и ""Герани"" для встречи дорогих гостей.']"
3200,uk,"['Каждый мнит себя героем видя бой со стороны', 'Сразу це був для мене не простий вибор, стадія отріцанія може трохи затянулась.\nСудіть самі, я тут топлю за Росію і Русь матушку, кажу вісім – вони наші братушки, вони ніколи не нападуть. \nНу, тіпа, нахуя їм: землі, ресурсів, людей хватає, логічно ж.\nА воно он як вийшло, \nпідараси йобані\n, як фашисты \nсука\n, ночью, без обьявлєнія войни, точно щури скажені, ордою полізли.\nПолучіли піздюлей под Києвом і тікали всраті кидая все на свойом путі.\nРускіє своїх не бросають, ага, мы всі бачели і знаєм, як не бросают.\nІ ще казали рускі в спину не бьють. \nСоврємені русачкі підлі стали, якісь не руські зовсім. Довіряєш їм як людям, а вони як ті свіні, чи собаки, весь цей час яму тобі копали, гівно збирали і шоб ты впав в нього.\nТьху на вас']"
3202,ru,['Кличко не отстает и тоже радостно сообщает о сбитии всего на свете.\nКак же смешно и противно одновременно']
3203,ru,"['Шоу. Если бы знал, что они так будут заходить,']"
3205,uk,"['810 мертвих руснявих ололошек за сьогодні.', 'З початком наступу на Авдіївку, русня втратила  більш 5000 своїх тугриків убитими та пораненими. \nА також, більш 400 одиниць бронетехніки', 'Спостереження як завжди без змін і до ранку']"
3208,ru,"['Чистка региональных элит', 'коррупционер на коррупционере', 'которые места себе купили', 'Банковой нужны были деньги', 'они продавали места', 'но теперь на войне они заработали столько миллиардов', 'такой лозунг хотят продать']"
3209,uk,"['💩', 'Путін відкрив рота та почав погрожувати Україні через ""бавовну"" на Кримському мосту']"
3210,ru,"['Еще немного и кадры разгрома российских сил из Синьковки', 'показали незавидную судьбу брошенной российской пехоты,', ' позже четко разобрали с помощью скидов с дронов.']"
3211,uk,"['Наймасштабніша бізнес-подія.', 'Завдяки нашим захисникам і захисницям ми можемо продовжувати працювати на економічну міць країни', 'Це – наш обов’язок задля абсолютної перемоги над ворогом.', 'Сьогодні ми об’єднали людей, які знають, як це робити, які інвестують у нові робочі місця і технології, попри війну', 'Ми всі знаємо, що Черкащина – аграрний регіон. Але цього замало. Потрібно йти далі та розвивати переробку. І ми вже маємо нові інвестпроекти в цій сфері.\nУ нинішніх умовах бізнесу потрібно бути наполегливим, як ніколи досі', 'Закликаю кожного роботодавця розробити власну стратегію реінтеграції ветеранів на робочих місцях.']"
3213,uk,"['пів сотні загарбників', 'понад 300 загарбників']"
3216,uk,"['хлопці з розвідбату', 'пташки', 'довезуть на нуль', 'Тут, на сході, у повітрі відчувається дух боротьби, він і дає наснаги нам.']"
3217,ru,"['А помните такое фейковое изобретение укро и ангоСМИ...""трагедия Бучи', 'наконец то осмелилась', 'Как местные власти просто тупо наварились на этом...Приписки себе баснословных премий и коштов', 'короче этой стране поможет только тотальная МЕТЛА']"
3221,ru,"['Нам угрожать, что с нами расправятся', 'Сегодня есть мировое сообщество, есть какая-то культура']"
3222,ru,"['Подскажите, а депутат СН Гришина, которую обещал заставить кричать депутат СН Одарченко на пленках Наема, - должна была делать это бесплатно или за крипту?']"
3223,ru,"['Азербайджан явно готов перенести войну на территорию сопредельного государства.', 'отправить для галочки', 'мусульманские старны ОДКБ против мусульманского Азербайджана за христианскую Армению  - это вопрос']"
3225,uk,"['окупанти полишили низку блокпостів у місті, а кількість техніки значно зменшилася.\nорки перевдягаються в цивільний одяг і їздять по місту на велосипедах, скутерах, тобто менше намагаються рухатися технікою.']"
3227,uk,['Ми пішли на цей крок за численними запитами військових.']
3228,ru,"['Приходить в гости к нашим ветеранам нужно не только накануне памятных дат, а круглогодично.', 'Министерства труда и социальной политики ДНР', 'Ветеран бодр. На жизнь смотрит с оптимизмом. У него отличные соседи, в доме царит атмосфера взаимовыручки.', 'Ветераны Великой Отечественной войны отстояли наше право на жизнь и им мы обязаны всем, что имеем сегодня']"
3229,ru,"['Бигус наносит ответный удар', 'Итак, неприкасаемые журналисты-соросята, имеющие отсрочку от призыва, очень недовольны, что СБУ снимала их вечеринки и теперь имеет компромат']"
3230,uk,"['матюкають', 'Навіть посперечалися, що краще підійде: ліхтарний стовп, смерека чи осика... Люблять люди свого президента і довіряють.']"
3231,uk,"['плідної співпраці', 'Силами небайдужих', 'тому конвертуємо нашу злість та помсту в допомогу нашим ЗСУ.', 'Продовжуємо працювати та наближати нашу Перемогу!']"
3233,ru,"['очередной фейк русни', ' традиционно любит делать русня']"
3234,ru,"['нарастает массовое недовольство украинскими беженцами.', 'далеко не все украинцы, как считают поляки, имеют право рассчитывать на эту помощь.', 'уже не так скептически относятся к идее денацификации Украины', 'Культурные, национальные и исторические различия дали о себе знать. Поляки часто испытывают шок и непонимание, видя как ведут себя приезжие украинцы. У многих беженцев прослеживаются последствия многолетней нацистской идеологической обработки.\nКак считают 38 % опрошенных агентством United Surveys граждан Польши, наплыв украинцев угрожает безопасности Европы. Связано это с тем, что помимо беженцев приезжает большое число нацисто', 'здесь продолжают продвигать свою идеологию', 'считает один из опрошенных граждан']"
3235,uk,['наші воїни уразили з одного пострілу живу силу противника. Всі окупанти знищені.']
3237,uk,"['Більшість українців вважають', 'перевищенням своїх повноважень']"
3238,uk,"['росії', 'Усі якось так вважають, що призвали і все', 'рф]', 'Це наводить на наступне питання: а навіщо така кількість, якщо втрати, як то кажуть, мізерні? Ну, ось ви і побачите, що правда буде десь посередині.']"
3241,ru,"['друг и бизнес-партнёр президента \nТимошенко\n ворует в тылу у тех, кто воюет на фронте']"
3242,ru,"['Пять лет назад, 31 августа 2018 года, Его не стало... Первого Главы ДНР, Героя ДНР Александра Захарченко\nЧеловека, который первым поднял знамя борьбы, чтобы Донбасс вернулся в Россию', 'Мыпомним']"
3247,uk,"['росія принесла в Україну', 'якби це відбувалось з військовими рф', 'підтримує тероризм російської армії']"
3248,uk,['Працюємо на перемогу!']
3249,uk,"['рашистів', 'Карма наздогнала зрадника']"
3250,ru,"['каждый день их сотнями отправляют туда, куда они должны отправляться', 'они сюда ворвались нас убивать»']"
3251,uk,"['виповзає з-під російської сфери впливу', 'чесно', 'Це не просто слова', 'Це саме глава уряду заявив Путіну в обличчя, фактично, дав зрозуміти, що готує країну до виходу з ОДКБ', 'Громадську думку країни готують', 'видавлюють', 'вириваючи країну з ""обіймів', 'ОДКБ може розвалитися', 'просто чекають', 'існував лише на папері', 'формально возвеличував', 'російського неліквіду', 'Розпад ""паперового"" монстра тепер покаже всьому світові', 'Але і це не точно']"
3253,uk,"['Ще й як ганяють', '""свінарчуков"" і ""ліпєцк""', '""роттердам"" і ""торговлю на крові"" та іншу муру', '""антикорупціонери"" просто тільки роздуплились', 'інкше б ух що б зробили']"
3255,uk,"['ПІДКОРЮЮТЬ ТІК-ТОК', 'На жаль', 'є і такі представники Незламного', 'Хтось проливає кров та віддає життя, а хтось, знаходячись у США, розповсюджує ватні наративи, який птн молодець', 'ватні істоти', 'Напишіть в коментарях, що з такими треба робити?']"
3256,uk,"['Найважчі 5 днів у 2023 році для України: теракт у Дніпрі, напружена ситуація на фронті та загибель керівництва МВС.', 'Чітко бачимо активізацію російських ботоферм, які будуть зараз розганяти найбожевільніші теорії зради.\nФільтруйте інформацію, довіряйте офіційним джерелам та, головне, тримайтеся разом', ' срачі на тлі трагічних подій виглядають недоречно та жалюгідно.\nЛише консолідація та взаємопідтримка дозволить гідно пройти цей період']"
3257,ru,"['Международные террористы готовятся к нападению на Белгородскую область с территории Украины', 'в Харькове состоялась встреча главаря местной 127 ТРО Грищенко  с исламистским террористов Ахмедом Закаевым, чье подразделение было завербовано ГУР', 'готовятся к нападению на Белгородскую область', 'пытки, убийства, зверства']"
3258,uk,"['Підари на околицях міста Авдіївка, поки працюємо артилерією не даємо можливості закопатися. Знищуємо']"
3259,uk,"['воюють з нами пліч о пліч', 'і ти до сих пір не знав усієї правди?', 'Відповіді на ці питання та ще більше \nдивіться тут', 'С\nтавьте лайки, пишіть коменти', 'країна має знати, хто воює разом із нами']"
3260,ru,"['считается экстремистом. \nИли террористом', 'Это кому как больше нравится (по сути не важно).']"
3261,uk,['Незламним є навіть зруйнований ворогом міст через Десну']
3262,uk,"['гарматне м’ясо', '«з’їхати по психушці»']"
3263,ru,"['рашисты привязали к дереву мобилизованного, который не хотел идти на передовую', 'При смене командиров братьев решили', 'Чтобы их ""дисциплинировать"", солдат развели по разным ротам. А потом одного  привязали к дереву: после этого россиянин ""согласился"" ехать на передовую']"
3266,ru,"['Это доброе видео трогает сердце', 'Отдельно радует реакция нашего президента. Он по достоинству оценил скромность русского бойца и его братское отношению к командиру', '«Только в русской армии такое возможно», — отметил Владимир Владимирович.']"
3267,uk,['Німці вирішили помститися полякам за блокування кордону з Україною?']
3268,uk,"['Сьогодні це про захист нашого життя як нації. Сьогодні це про захист базових прав та свобод для цивілізованого світу', 'Знаємо, що вже скоро в українські Донецьк, Луганськ, Маріуполь, Мелітополь та Крим, на інші території, що лише тимчасово залишаються окупованими, повернеться українська Конституція.']"
3269,uk,"['Кацапський', 'регулярно товче пику', 'сам цим хвалиться', 'русняві', 'скиглять', 'охочих отримати люлів', 'особливо не спостерігається', '""Свобода тут є тільки в одного слова, і слово це моє!""']"
3272,ru,"['Докатились', 'Политических узников защищают...сидящие в СИЗО адвокаты', 'решили заткнуть рот', 'отказ идти и убивать людей на Донбассе']"
3273,ru,"['У говна есть имя. И это имя Гаспарян. Шавка на подтанцовках Кремля. Обычная мразь на зарплате, которая тявкает по команде. Ничего нового.']"
3274,uk,"['героїзму оунівців', 'Сьогодні Українська Держава існує і наше завдання - захистити її існування', 'ОУН виконала свою історичну місію. Тепер наш час']"
3275,ru,"['«идей»', 'шизоидность происходящего', 'Максимальная чушь', '(!)', '(!)', 'во всей (!) публичной социологи', '(!)', '(!)', '(!)', '(!)', '(!)', 'полнейший фейл', '(!)', '(!)', 'очевидно, что да', 'рэкет', '«обилечивание»', 'Только это', '(', 'Даже уже дятел должен был понять,', 'ВАНГУЮ']"
3276,uk,"['Упс', 'прогоріли на хайпі', 'рАсії', 'як хайпити на крові людей?', 'Дестабілізація обстановки в інформаційному полі.']"
3277,uk,"['проблема росіян - їх завжди обманюють. Або їм так хочеться думати', 'Як мед ллється']"
3279,ru,"['Как обычно', 'но почему то не указывают, что это окраина города', '😁']"
3280,ru,"['она подчеркнула, что ""взяточники в военкоматах — не повод уклоняться от мобилизации"". К слову, Маляр удивляется, что к ней обращаются с вопросами:\n ""почему мы должны защищать Украину и погибать, а военкомы сидеть в тылу и зарабатывать', 'на уклонистах', 'ведь, по ее мнению, эти вещи никак не связаны.']"
3281,ru,"['Ну вот вы заливаете\n😂\n😂\n😂', 'Ну то как?', 'Европа брала у Вас', 'ещё и рекордные объёмы', 'Европу уже почти ничего не идёт', 'спрос рфии', 'В Европу уходит', 'Все']"
3282,ru,"['Символ надежды и объединения', '«За бескорыстную службу жителям Донецкой Народной Республики, за самоотверженную работу под обстрелами – во имя спасения, поддержки, помощи тем, кому сложнее всего.\nВаша деятельность – синоним гражданского подвига».']"
3283,uk,"['Чергова тривожна доба.', 'Більшість «приземлили» наші ППО.', 'Разом ми сильні! Україна переможе!']"
3284,ru,"['Война за будущее', 'стратегическую экспансию', 'Не нужно уничтожать все украинские порты и склады. РФ просто делает производство зерна в Украине заведомо невыгодным. И неважно кому принадлежит земля.', 'Параллельно Россия поставляет своё зерно на освободившиеся рынки', 'война не только за людей и землю', 'за самую перспективную отрасль на планете', 'принесет не только сотни миллиардов, но и политическое влияние', 'для украинского политикума это слишком сложные понятия. Там думают максимум на 2-3 недели вперёд', 'Ребята, подскажу вам, что будет дальше: ещё одна небольшая проблемка – недофинансирование отрасли', 'Ещё пару лет – и на восстановление уровня производства нужно будет потратить уже десятилетия.\nЗато радовались месяц, что Крымской мост взорвали. \nКоторый уже, кстати, восстановили.\nКратковременный хайп дорого обходитс']"
3285,ru,"['В лохмотьях', 'Добраніч усім, крім рашистів']"
3286,ru,['быстренько мобилизовать на передок украинских мужичков']
3287,ru,"['рашисты орут', 'дешёвой постановы', 'разыграли их пропагандончики', 'Типа наши', 'бьют его палкой', 'Ох и клоуны)']"
3288,uk,"['Це не просто твори мистецтва, це живі свідчення сили духу, непохитності та любові.\nПід кожною картиною - історія кохання цієї родини.', 'якою силою, емоційністю й мужністю наділені наші українські жінки', 'виставка має велике значення не лише для її авторів, а й для кожного з нас. Адже ці роботи несуть світло, яке завжди перемагає зл', 'Кожна картина - як символ незламності та відданості жінок, які змогли перетворити свій біль і сум у витвір мистецтва.', ""чудовим жінкам за силу духу – місто завжди допомагатиме сім'ям Героїв"", 'захоплюючі душу пісні', 'Разом - переможемо', 'Героїв-криворіжців']"
3289,ru,['Путин ни разу сегодня не произнес имени Байдена. Байден сейчас в Варшаве чуть ли не каждое свое предложение начинает со слова «Путин». Почувствуйте разницу!']
3290,uk,"['Це його перший пуск і перше збиття!\nМикола присвячує свій успіх побратимам, які нині відзначають День сержанта!', 'Разом – до перемоги']"
3291,uk,"['Українці продовжують боронити свою землю і давати гідну відсіч підступному ворогу', 'Російським варварам', 'вони дуже прорахувалися!', 'Тисячі українців', 'добровільно пішли захищати нашу державу', 'аби відстоювати нашу свободу і незалежність', 'Слава українським добровольцям!']"
3293,ru,"['Герои среди нас', 'все мы герои — кто работает на восстановление мирной жизни', 'Для меня ответ очевиден.', 'русская рулетка', 'Сан Саныч', 'с нами!']"
3294,ru,"['Русачок то ли поспать прилёг, то ли дохлым прикинулся', 'после ""бодрящей пилюли"" прям затанцевал']"
3295,uk,['Відбиваємо штурм ворога в порту Одеси та мінусуємо русаків з підводного гранатомета']
3296,ru,"['выборов путлера', 'оккупанты', 'Ждем 101']"
3297,uk,"['Нова комп’ютерна техніка сприятиме покращенню навчального процесу та удосконаленню організаційної діяльності в університеті. Адже сьогодні конче потрібна саме сучасна техніка.', 'зокрема, вищих військових навчальних закладів, які готують еліту українського війська.', 'бо зараз ми всі об’єднані єдиною метою – Перемогою над російськими загарбниками!', 'Разом – переможемо! Слава Україні']"
3298,uk,"['Коли весь березень воював в Ірпені добровольцем, отримав поранення та інвалідність, а тобі воєнком виписує повістку']"
3300,ru,"['высказаться против действий Запада, накачивающего оружием киевских укронацистов.']"
3301,uk,"['Ми швидко наближаємося до глобальної війни', 'російський слід', '-хау все-таки нашої війни. Ніхто інший, як люди, які пройшли наш театр воєнних дій, не могли такого робити. Оскільки там не було нас, значить, це були росіяни;\n⏳\n ', 'Якщо конфлікт буде обмежений за часом, до кількох тижнів, то в принципі немає про що хвилюватися. Але якщо ситуація затягнеться, цілком зрозуміло, що будуть певні проблеми з тим, що не тільки в Україну треба буде постачати озброєння і боєприпаси', ""За сукупністю географії ми бачимо кілька конфліктів, які на перший погляд здаються регіональними, крім України, але вони всі пов'язані між собою одними й тими самими країнами, які втягнуті в ці процеси. Тож так, я вважаю, що все ж таки ми досить швидко наближаємося до глобальної війни;"", 'нині Україна намагається зробити все, щоб врятувати своїх громадян у зоні конфлікту на Близькому Сході', 'це велика проблема', 'Що робити з Сектором Гази – це питання ми зараз всі разом намагаємось вирішити. Воно стоїть у пріоритеті.']"
3302,ru,['Голова Баскова на блюдечке']
3305,uk,"['651 день ЗСУ демонструють свою силу.', 'українці - це потуга, яка здатна дати відсіч будь-якому ворогу.', 'Війна, яку розпочала росія, напавши на Україну, торкнулася кожної родини. І тільки разом ми можемо покарати агресора та повернути своє. Ми дякуємо за вклад кожного у спільну перемогу. Вклад кожного - надзвичайно важливий', 'тільки обʼєднані і тільки озброєні ми можемо перемогти росію і принести безпеку у наші домівки.', 'ми - громадяни України - це сила. Ми і є сили ЗСУ.', 'Приєднуйтесь до ЗСУ. Бо разом - ми сила.']"
3306,uk,"['Більшість цих подій відбувалися до (або після) російської - української війни, але ці події, наративи та меседжі суттєво вплинули на прихід ""русского мира"" та війну в Україні. Особливо Геноцид Української Нації.']"
3307,uk,"[""Друг Путіна \nпочав просувати свої тези про перемир'я"", 'Зайшов з тогу боку', 'тож, ще один нереалістичний ""китайський мирний план"", але приправлений паприкою від Віктора.']"
3309,ru,"['Когда жить скучно', 'шуганул', 'руснявая десантура', 'Я у мамы диверсант\n😂']"
3313,ru,"['А также дал понять, о наличии неких проблем в отношениях с Офисом президента.\nРяд наблюдателей уже \nтрактует\n отставку Хоренко как один из примеров разногласий между Залужным и Зеленским']"
3315,ru,"['Ну ещё у 93-й образовалась неприятная привычка при отступлении взбодрять дружественным огнём несчастных мобиков и трошников, что бы им было веселее выполнять функции аръергарда.']"
3320,uk,"['Ветерани сьогодні – це не просто Герої. Це майбутні лідери громад. Нам важливо, щоб вони, повернувшись додому, зустріли тут нову інфраструктуру. І щоб розуміли, що їх чекають']"
3321,uk,"['ТОП українських каналів, які допомагають ЗСУ, ТрО, волонтерам та чинять опір на інформаційному фронті.', 'Разом переможемо.', 'єдиний нормальний канал з Харкова. Матюки та русофобія з 2013 року.', 'міжнародна розвідувальна спільнота, новини, аналітика, OSINT/HUMINT та випалення рашистів.', 'найсвіжіші військові новини', 'твоя доза гумору, новин, мемів та, звісно, русофобії прямісінько з серця Галичини.', 'дзвінки кацапам від яких вони волають.', 'злий одесит, він же координатор групи «ІС». Розкриває фейки росії і аналізує ситуацію в її ВПК,', 'палим русню з 2014. Не зупиняємось.', 'тут роспропаганду помножують на нуль', 'наші побратими садять окупантів на пляшку.', 'канал добровольців, які спільно з ЗСУ знищують кацапських окупантів.', 'Один із командирів КРАКЕН. Топ-10 розшукуваних людей в рф', 'патріоти з Донецької області про події в ОРДЛО, політиці та на фронті.', 'нищимо ворога разом.', 'блог Донецького Бандерівця', 'ударні новини про знищення ворога.', 'найбільший канал про справжню несовкову історію України', 'тикай вату мордою у факти', 'найбільша українська націонал-буржуазна спільнота', 'Інформаційний спротив. Спростування фейків роспропаганди та якісна русофобія']"
3324,uk,"['щось із розряду хворобливих марень…', 'Ми з росіянами не один народ', 'Це науковий факт']"
3325,ru,"['«Вступлении Швеции в НАТО будет иметь негативные последствия', 'Оставить Питер под защитой срочников']"
3326,ru,"['крім рашистів', 'Военные!\n \nВзяли пленного — пишите мне!', 'Проспонсировать фонд', 'Подписывайтесь на постоянного спонсора нашего Обменного фонда']"
3327,uk,"['зазнає непоправної втрати', 'політика перестане бути настільки захопливою']"
3328,ru,['зачем народу память о Великой Победе? \nЗато у нас теперь есть «контрнаступ»!']
3330,ru,"['Ужгород, а что не так на видео?', 'Чего ей не нравится? А мужик чего кричит?', 'Помню я больше года назад писал, что я подожду, когда пропаганда отступит, а потом буду смеяться']"
3333,ru,"['овости из дурки\nРусня вообразила', 'Украина готовит провокацию']"
3334,ru,"['оказывает большую услугу ""оси сопротивления""', 'может чувствовать себя свободнее', 'выступают щитом']"
3335,ru,"['Кто в комментариях просил ещё на что-то скинуться или не успел поучаствовать...', 'Запускать завтра сбор ему на новый мавик? Отчёт обещает дать на следующий день']"
3336,uk,"['1160 біоматеріалів', 'Чергові приємні новини з дебензифікації росії', 'трохи пригорів', 'План ""килим, паркет, ламінат"" - все у стандартному наборі.', 'Білгород прокидається зі святковим настроєм, щоправда у підвалі.\nЧергові заходи щодо деБелгоризації', 'ситуація просто страшна', ' перебувають у гуманітраній катастрофі', 'Може нам варто перенести процедуру з півдня, на північний схід і влаштувати СУшко пад і тут?\nСрані «петушари» працюють майже щогодини.']"
3337,uk,"['ужаси', 'Що там такого страшного в порівнянні з нашим концом епохі', 'Типу нас туди вже з обіймами запросили', 'а ми такі - нєт-нєт,нам надо єщо болєє лудшиє условія, умоляйтє нас!\nАбсолютно маніпулятивна хрін', 'нам без всяких ""відкладень"" до ЄС як до Київа рачки', 'без рожевих соплєй про всякі ""захисти інтересів', 'У нас самих таких ""захисників національних інтересів"" повно', 'розганяються з кожного утюга', 'хтось зібрався вигадувати свій український велосипед?', 'спрямовану провокацію кротівні', 'продовжує тут квітнути буйним цвітом']"
3338,ru,"['оссия призвала осудить действия киевского режима, сбившего самолет Ил-76 с\xa0украинскими пленными на борту.', 'Дмитрий Полянский, который заявил, что не услышал в выступлении заместителя постпреда Украины Кристины Гайовишин «ничего, что говорило\xa0бы о том, что это не они».', 'Все имеющиеся у\xa0нас сегодня данные указывают на то, что мы имеем дело с\xa0преднамеренным, продуманным преступлением. Руководство Украины прекрасно знало о\xa0маршруте и\xa0способе транспортировки солдат к\xa0месту заранее согласованного обмена. Он должен был состояться вчера, 24\xa0января, во второй половине дня. Это уже не первая подобная операция, однако на сей раз киевский режим по каким-то необъяснимым любому здравомыслящему человеку причинам решил ее сорвать, причем самым варварским способом»']"
3339,ru,"['Ребята были очень рады гостям.', 'от чистого сердца выразила слова благодарности']"
3340,ru,"['В\xa0ДНР', 'Всего в ДНР, ЛНР, Херсонской и Запорожской областях с\xa0начала 2023 года возобновлена работа \n41 промышленного предприятия\xa0с\xa0более чем 1500 работников']"
3341,uk,"['Майже не заходжу в фейсбук, а коли заходжу то переконуюсь, що правильно роблю, що майже не заходжу.']"
3342,uk,"['💥', '🙏', 'невимовний біль', 'невиліковних ран', 'дієвість управлінської вертикалі']"
3343,uk,"['Основний ресурс та цінність української армії – її люди', 'важкий театр бойових дій', 'Нація має готуватися', 'молодь має виховувати']"
3344,uk,"['Божевільне таксі', 'ну дуже', 'динири', 'фактично в тому, в чому був одягнутий', 'Але то все деталі, головне шо живим залишився і то є добре', 'Одним словом, бігати вже не зможе', 'дві ноги - це краще, ніж одна і це факт(сарказм)', 'не верещить про те шо йому всі винні', 'він був там, куди хуй хто зможе пролізти', 'віджали орки', 'ну дуже хоче приїхати на зачистку', 'висповідати деяких друзів дитинства, поговорити про добро і зло та про наслідки', 'Але то все буде потім', 'як ви самі можете здогадатися', 'фішка', 'вата', 'ну дуже часто', 'братана', 'біндер прахлятих', 'тупо пиздити вату', 'доводити худобу і до істерики, і до сказу, і до сліз одночасно:', 'та хуйня пиздить про біндер', 'а теперь тебе пиздец', 'Я тебя сейчас завезу в СБУ и там с тобой о твоих проблемах с биндерами парни поговорят. Молись, сука-.', 'чувак', 'пиздоту', ""з абсолютно кам'яним виразом обличчя, хитро посміхаючись"", 'вати після таких слів істерика', 'значить нічого не сказати.', 'вата', 'біндер', 'за Русь усрусь, так би мовити', 'виносити ватанам мізки', 'ватани', 'людина дала їм останній шанс на те шоб виправитись + обіцяла завезти не тільки в СБУ, а й в район Авдіївки і вже там згодувати цю свиню бездомним собакам', 'Людині абсолютно похуй, якої статі ватан-пасажир. Похуй на сльози, вмовляння, матюки та прокльони. Його коронна фішка - це запропонувати ваті вибір:', 'асєтіни', 'Так куди їдемо, бррратан?', 'сєстрічка', 'ватоголовий', 'їбані лицеміри', 'Я хочу, чтобы эта вся хуйня выла и ссалась рот открывать в принципе. Место ваты вне оккупации - под плинтусом. И я буду тем, кто эту хуйню туда будет постоянно загонять', 'ловить кайф', 'як виє та верещить вся ця срань господня', 'пиздоглуздувате', 'ватани', 'вадітіль нєадикватний і кідаєцца на людєй.', 'Але дядько і не думає зупинятися', 'єбало ватана', 'слышь ты, хуйня... я тебя сейчас в багажник кину, скормлю собакам под Авдеевкой... пизда тебе, ватан ебаный. Я из Донецка-']"
3345,uk,"['кремлівського диктатора', 'путінський режим', 'знищення української державності', 'анексія українських земель', 'встановлення контролю над Європою', 'Наша спільна відповідь є очевидною', '«пекельні»', 'повалення путінського режиму', 'Разом до перемоги']"
3347,uk,"['виплатам таки бути', 'нещодавню \nСанта-Барбару з цими додатковими грошовими винагородами\n, спричинених останніми змінами в законодавсті', 'Але у військових все завжди туго', 'Проте всі молитви МОУ почуло', 'Тепер процес запущено, думаю в перших числах жовтня можна очікувати на виплати))']"
3348,ru,['Дед попросил у ЗСУ автомат чтобы отомстить за разбитую хату']
3349,uk,"['Знаю лише одне: у влади як не було, так і немає якогось нормального плану стосовно інтеграції цих окупованих територій та людей до України. \nТе, що вони пропонують, яку гуманітарну політику проводять, веде лише до розколу суспільства, і не більше.', 'саме внаслідок такої тупорилої та недалекоглядної політики і з\'являються так звані ""ждуни""', 'дебіки']"
